encoder,d,d_pub,d_priv,scheme,n,seed,condition,evaluated_queries,view,linkage_method,n_queries,top1,top5,top10,mrr,median_rank,mean_rank,auc,note
e5-small,384,96,288,cell_C64,500,11,noise_0.01,500,residual,residual_norm_nn,500,0.964,1.0,1.0,0.982,1.0,1.036,0.9956886,
e5-small,384,96,288,cell_C64,500,11,noise_0.01,500,residual,residual_norm_rank_assignment,500,0.304,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,500,11,noise_0.01,500,full_server,public_prefix_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,noise_0.01,500,residual,gram_signature_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,noise_0.01,500,residual,nn_graph_signature_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,0.9999832,
e5-small,384,96,288,cell_C64,500,11,noise_0.01,500,residual,combined_invariants_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,noise_0.01,500,full_server,combined_prefix_invariants_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,500,11,noise_0.01,500,residual,known_anchor_ip_0.01,495,0.1797979797979798,0.6262626262626263,0.9171717171717172,0.3728319712900818,4.0,5.040404040404041,0.5029845934088358,
e5-small,384,96,288,cell_C64,500,11,noise_0.01,500,residual,known_anchor_ip_0.1,450,0.5933333333333334,0.8622222222222222,0.9911111111111112,0.7052018845352178,1.0,2.548888888888889,0.6474948148148149,
e5-small,384,96,288,microkey_perdoc,500,11,clean,500,residual,cell_label_chance_control,500,0.002000000000000001,0.01,0.02,0.013585646859981046,250.5,250.5,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,microkey_perdoc,500,11,clean,500,residual,residual_norm_nn,500,0.624,0.998,1.0,0.7835333333333333,1.0,1.584,0.9981291999999999,
e5-small,384,96,288,microkey_perdoc,500,11,clean,500,residual,residual_norm_rank_assignment,500,1.0,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,microkey_perdoc,500,11,clean,500,full_server,public_prefix_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,500,11,clean,500,full_server,combined_prefix_norm_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,500,11,clean,500,residual,raw_cross_key_cosine_control,500,0.0,0.018,0.028,0.014842063044358762,263.5,255.714,0.4901722,
e5-small,384,96,288,microkey_perdoc,500,11,clean,500,residual,known_anchor_ip_0.01,495,0.00202020202020202,0.006060606060606061,0.010101010101010102,0.012084094441150623,240.0,241.43232323232323,0.5137867564534231,
