known_pairs,n_seeds,overlap_recall_at_1_mean,overlap_recall_at_1_std,overlap_recall_at_10_mean,overlap_recall_at_10_std,overlap_top1_token_jaccard_mean,overlap_top1_token_jaccard_std,disjoint_top1_token_jaccard_mean,disjoint_top1_token_jaccard_std,mean_cosine_to_projected_mean,mean_cosine_to_projected_std,relative_l2_error_mean,relative_l2_error_std
0,5,0.0,0.0,0.0,0.0,0.005943911429874213,0.00029269839265394455,0.0059456640071938,0.0002873546932951054,-0.004770640493370592,0.004653572951963942,1.4176519870758058,0.003233459971696668
10,5,0.0,0.0,0.0092,0.0038987177379235854,0.008925998879456488,0.0008155755021843946,0.008931221344224877,0.0007975146462921718,0.10402036607265472,0.0034366050566410587,1.3382799625396729,0.0026640051408157767
25,5,0.04360000000000001,0.012521980673998822,0.132,0.018055470085267793,0.05502280086860305,0.012571257698067129,0.012109912178434126,0.0009357475048219958,0.22109245955944062,0.0048186469432659465,1.2476667642593384,0.003935339198637107
50,5,0.5348,0.026290682760247958,0.7844,0.018942016788082494,0.5429470459381328,0.025830067683533502,0.017960633666416252,0.0002766762522429352,0.3750862956047058,0.002181770472312397,1.1174536228179932,0.0017607008848747993
100,5,0.9984,0.0008944271909999166,1.0,0.0,0.9993410874917084,0.0005389359894499809,0.03365530109876716,0.001128106720160643,0.6283656120300293,0.0033225408980174023,0.861450457572937,0.0036276962314596493
192,5,1.0,0.0,1.0,0.0,1.0,0.0,0.04261975341943936,0.0,1.0,0.0,1.5344066741818097e-05,6.295530606344384e-06
500,5,1.0,0.0,1.0,0.0,1.0,0.0,0.04261975341943936,0.0,1.0,0.0,4.844441946261213e-07,2.553457331832312e-09
1000,5,1.0,0.0,1.0,0.0,1.0,0.0,0.04261975341943936,0.0,1.0,0.0,4.4495868678495754e-07,1.7377927703465529e-09
