cells,seed,m,cell,n_targets,n_anchors,rank,ridge_selected_relative_alpha,ridge_selected_absolute_alpha,ridge_cv_losses_json
1,23,2048,0,256,2048,288,0.0,0.0,"{""0.0"": 8.584147572771328e-17, ""1e-08"": 4.971069155779488e-15, ""1e-06"": 3.495692248135261e-14, ""0.0001"": 3.851516125170968e-11, ""0.01"": 8.996799274873428e-08, ""1.0"": 0.0001004578294606711, ""100.0"": 0.0003720656200270753}"
1,23,4096,0,256,4096,288,0.0,0.0,"{""0.0"": 7.977048782739764e-17, ""1e-08"": 3.891227924749288e-15, ""1e-06"": 2.955270495615411e-14, ""0.0001"": 2.8774215996805883e-11, ""0.01"": 6.719571797740688e-08, ""1.0"": 9.404985539168731e-05, ""100.0"": 0.00037063018042112844}"
1,23,8192,0,256,8192,288,0.0,0.0,"{""0.0"": 7.837809275507977e-17, ""1e-08"": 3.433364023260834e-15, ""1e-06"": 2.6857224190546695e-14, ""0.0001"": 2.5026664711559584e-11, ""0.01"": 5.862823060559789e-08, ""1.0"": 9.083312700365044e-05, ""100.0"": 0.00036889584930186077}"
1,23,16384,0,256,16384,288,0.0,0.0,"{""0.0"": 7.834104994828339e-17, ""1e-08"": 3.2683109855891894e-15, ""1e-06"": 2.5988585572702393e-14, ""0.0001"": 2.2653766243084507e-11, ""0.01"": 5.464722156903355e-08, ""1.0"": 8.9726176379798e-05, ""100.0"": 0.00037050497343174994}"
1,23,32768,0,256,32768,288,0.0,0.0,"{""0.0"": 7.839437113485083e-17, ""1e-08"": 3.212909605275438e-15, ""1e-06"": 2.5923553469596855e-14, ""0.0001"": 2.1434601223777143e-11, ""0.01"": 5.28325983159677e-08, ""1.0"": 8.897016832253563e-05, ""100.0"": 0.00037019231059927545}"
1,23,65536,0,256,65536,288,0.0,0.0,"{""0.0"": 7.81066501074934e-17, ""1e-08"": 3.1253490952441118e-15, ""1e-06"": 2.556046642655295e-14, ""0.0001"": 2.1412082277838846e-11, ""0.01"": 5.2104152827821635e-08, ""1.0"": 8.868823045739116e-05, ""100.0"": 0.000370400754497615}"
1,23,90000,0,256,90000,288,0.0,0.0,"{""0.0"": 7.787741767756337e-17, ""1e-08"": 3.1384864800339523e-15, ""1e-06"": 2.565403288598242e-14, ""0.0001"": 2.1363369944810695e-11, ""0.01"": 5.1965630623162065e-08, ""1.0"": 8.86378421782757e-05, ""100.0"": 0.0003705628351547313}"
1,31,32,0,256,32,32,1e-08,1.1060690477474189e-09,"{""0.0"": 0.00032419780960643216, ""1e-08"": 0.0003241978085251411, ""1e-06"": 0.0003241978105705891, ""0.0001"": 0.0003241978127941965, ""0.01"": 0.00032420225537049753, ""1.0"": 0.0003328564671418808, ""100.0"": 0.0003561428811350249}"
1,31,64,0,256,64,64,1e-06,1.1010218380799454e-07,"{""0.0"": 0.0003000259976501844, ""1e-08"": 0.0003000259981993952, ""1e-06"": 0.0003000259975760895, ""0.0001"": 0.0003000260019096573, ""0.01"": 0.00030003878994469237, ""1.0"": 0.00031983512919312563, ""100.0"": 0.0003692375899426332}"
1,31,128,0,256,128,128,1e-06,1.0985983905587992e-07,"{""0.0"": 0.00021970212923487853, ""1e-08"": 0.00021970212863490108, ""1e-06"": 0.00021970212610151815, ""0.0001"": 0.00021970213331023306, ""0.01"": 0.00021975881540126335, ""1.0"": 0.0002680916216447674, ""100.0"": 0.0003699823775944749}"
1,31,256,0,256,256,256,0.0,0.0,"{""0.0"": 9.143122997488e-05, ""1e-08"": 9.143123004917177e-05, ""1e-06"": 9.143123010477425e-05, ""0.0001"": 9.143137614480611e-05, ""0.01"": 9.240913014437344e-05, ""1.0"": 0.00019874103458336555, ""100.0"": 0.0003709520901959336}"
1,31,512,0,256,512,288,0.0,0.0,"{""0.0"": 1.639122055413124e-16, ""1e-08"": 2.250445141132753e-14, ""1e-06"": 1.6736635536229862e-13, ""0.0001"": 6.842722387000649e-10, ""0.01"": 1.1501417495531787e-06, ""1.0"": 0.00013302453742215615, ""100.0"": 0.00036616759586126433}"
1,31,1024,0,256,1024,288,0.0,0.0,"{""0.0"": 9.608224162651642e-17, ""1e-08"": 6.8657054930776344e-15, ""1e-06"": 4.107856146911658e-14, ""0.0001"": 8.181445076894752e-11, ""0.01"": 1.723663317283149e-07, ""1.0"": 0.00011083522968685748, ""100.0"": 0.0003692720966042102}"
1,31,2048,0,256,2048,288,0.0,0.0,"{""0.0"": 8.437293684715328e-17, ""1e-08"": 4.3159189563075475e-15, ""1e-06"": 3.084771273954444e-14, ""0.0001"": 4.0362061767252234e-11, ""0.01"": 8.975561040283307e-08, ""1.0"": 9.962371449480171e-05, ""100.0"": 0.000369488897892067}"
1,31,4096,0,256,4096,288,0.0,0.0,"{""0.0"": 7.996241806441495e-17, ""1e-08"": 3.813602197235154e-15, ""1e-06"": 2.8621898285817737e-14, ""0.0001"": 2.7131149054528863e-11, ""0.01"": 6.60278556127934e-08, ""1.0"": 9.37674416209064e-05, ""100.0"": 0.0003694825562479267}"
1,31,8192,0,256,8192,288,0.0,0.0,"{""0.0"": 7.90027435570245e-17, ""1e-08"": 3.204519008878395e-15, ""1e-06"": 2.58302210495391e-14, ""0.0001"": 2.4115537118063126e-11, ""0.01"": 5.8452223381977695e-08, ""1.0"": 9.140827083115805e-05, ""100.0"": 0.0003716941610187862}"
1,31,16384,0,256,16384,288,0.0,0.0,"{""0.0"": 7.852903697493215e-17, ""1e-08"": 3.2222832456106957e-15, ""1e-06"": 2.5740188428801634e-14, ""0.0001"": 2.196131382609799e-11, ""0.01"": 5.4724892443733774e-08, ""1.0"": 8.981323157199673e-05, ""100.0"": 0.0003706906321031996}"
1,31,32768,0,256,32768,288,0.0,0.0,"{""0.0"": 7.864473542513538e-17, ""1e-08"": 3.1516249944564713e-15, ""1e-06"": 2.5529700166380613e-14, ""0.0001"": 2.1305925699412646e-11, ""0.01"": 5.312343525181126e-08, ""1.0"": 8.942731756691433e-05, ""100.0"": 0.00037193715099831934}"
1,31,65536,0,256,65536,288,0.0,0.0,"{""0.0"": 7.834984333066232e-17, ""1e-08"": 3.1365800009825974e-15, ""1e-06"": 2.5600016998182543e-14, ""0.0001"": 2.134838701221464e-11, ""0.01"": 5.2203689176481795e-08, ""1.0"": 8.89188381007469e-05, ""100.0"": 0.0003713096858642626}"
