runtime,method,server_p50_ms,server_p95_ms,server_p99_ms,client_decrypt_p50_ms,client_decrypt_p95_ms,max_abs_error,wire_bytes,seal_ciphertext_count
windows,naive_per_candidate,1712.71595,1793.794715,1843.9169429999997,1116.65455,1172.8359699999999,2.2976376165134704e-06,13121661,100
windows,block_packed,427.5941,484.333025,486.751725,267.92875,311.775435,2.237662236968807e-06,3280904,25
windows,segmented_score_packed,195.17090000000002,203.92591000000004,232.23150199999992,6.96835,16.907015000000005,1.5008633360180657e-05,131876,1
wsl_linux,naive_per_candidate,607.5736125,635.3777191999999,637.49341024,60.4272325,66.7088142,1.0011319375273497e-06,13121661,100
wsl_linux,block_packed,149.3132155,160.66095034999998,166.41765167,14.8403405,16.86717135,1.014406427551906e-06,3280904,25
wsl_linux,segmented_score_packed,169.962387,172.89467544999997,173.17997108999998,0.797369,0.8764838,1.4714727172092379e-05,131876,1
