model,r2_kfold_mean,r2_kfold_std,mae_kfold_mean_ms,mae_kfold_std_ms,r2_bootstrap_mean,r2_bootstrap_ci95_lo,r2_bootstrap_ci95_hi,mae_bootstrap_mean_ms,mae_bootstrap_ci95_lo_ms,mae_bootstrap_ci95_hi_ms
GradientBoosting,0.8920596483870039,0.08674923448437193,577.2148090223903,335.5706888340486,0.8841785136622691,0.8088257646220421,0.9786981413421334,560.2080102073077,272.92681274181604,948.5371338974062
RandomForest,0.7967091769713041,0.06308853902860832,970.8128707305226,210.34515628010496,0.8101244876535338,0.7415126648118934,0.8863653090068884,966.1285573464153,579.4569774325846,1373.250699535353
ExtraTrees,0.7395016935121717,0.09477719295643976,999.4255189073453,206.50632413786397,0.7657522214945908,0.6400341750537966,0.8891139463136377,990.8242952450679,557.4772064223081,1466.4317279303464
