feature,importance
batch_size,0.468899961572583
log_N,0.17650357502574784
num_coeff_moduli,0.13075813280398432
proj_dim,0.12263641774438214
scale_to_total_ratio,0.05134245024169248
vector_packing_ratio,0.04961800344218209
total_coeff_bits,0.0002137641009320716
scale_bits,1.7388349070801412e-05
last_coeff_bit,8.970817307542392e-06
first_coeff_bit,1.3359021176958367e-06
