model,r2_nested_mean,r2_nested_std,mae_nested_mean_ms,mae_nested_std_ms
Ridge,0.6763293675087783,0.04464329746303565,534.3524215502788,41.305079819889855
KNN,0.6097074638748721,0.14609045656481107,498.775405753041,59.30958684937089
ExtraTrees,0.8991014512519335,0.012849985635325606,209.94323395213627,27.75610900949849
GradientBoosting,0.9702900239344674,0.01113929380934917,134.86297843814594,20.42088239581463
SVR,0.2504581227222765,0.024780227455027854,639.2270963533263,82.358519469813
