seed,query_idx,total_ms
202,0,236.66686907643452
202,1,242.31416935333982
202,2,250.1799691771157
202,3,269.5581693504937
202,4,217.17296906979755
202,5,274.00636922800913
202,6,230.9644691948779
202,7,259.997969197575
202,8,241.1329692066647
202,9,263.47796915331855
202,10,280.5308691994287
202,11,278.55576917761937
202,12,216.80866920622066
202,13,241.8447692715563
202,14,243.45726932631806
202,15,263.5520691354759
202,16,182.12266935268417
202,17,263.96576937520877
202,18,243.7066691298969
202,19,249.19026920804754
202,20,279.41616920987144
202,21,207.64416915597394
202,22,231.96996928425506
202,23,253.114169400651
202,24,281.07326937140897
202,25,248.97006939398125
202,26,269.1217692871578
202,27,236.91186907934025
202,28,225.958469028119
202,29,219.8920691688545
202,30,249.45736926281825
202,31,255.70346920983866
202,32,267.1612691436894
202,33,263.2314692554064
202,34,249.2381692235358
202,35,279.8264691908844
202,36,217.09266927326098
202,37,229.34626921312883
202,38,270.1148690492846
202,39,233.1999691040255
202,40,261.3135692034848
202,41,221.06736915418878
202,42,264.2381691210903
202,43,253.49066912429407
202,44,247.81896912725642
202,45,271.9617692590691
202,46,239.60886912653223
202,47,215.78536921413615
202,48,231.1321691912599
202,49,254.2897692718543
202,50,262.19396938802674
202,51,228.4759692219086
202,52,246.94366909796372
202,53,244.8947692126967
202,54,229.32796919019893
202,55,265.49646927276626
202,56,274.0131692797877
202,57,246.36086931684986
202,58,227.78246917994693
202,59,282.00126921990886
202,60,280.3222692408599
202,61,246.69756920309737
202,62,288.18836918333545
202,63,254.7180691570975
202,64,232.21226915018633
202,65,229.4577692472376
202,66,294.347269164864
202,67,284.04006937751547
202,68,243.82556922035292
202,69,279.70036927843466
202,70,262.70756910787895
202,71,287.15536900097504
202,72,284.2745691840537
202,73,259.04146924847737
202,74,248.3973693405278
202,75,259.13026922615245
202,76,268.72036925749853
202,77,272.344169144053
202,78,259.2350690928288
202,79,224.80636921944097
202,80,281.93786920281127
202,81,276.02586935507134
202,82,234.39546924317256
202,83,257.0268692751415
202,84,257.4253691663034
202,85,246.40566919231787
202,86,243.96246921503916
202,87,267.60976918274537
202,88,276.22456912184134
202,89,276.4968692162074
202,90,238.63856907235458
202,91,264.64886910514906
202,92,290.9140690998174
202,93,233.50196930812672
202,94,274.23616911517456
202,95,245.05436926381662
202,96,275.2399693080224
202,97,289.49716937029734
202,98,250.4991690465249
202,99,279.3238690891303
202,100,245.02606916474178
202,101,272.1501692966558
202,102,236.0378691763617
202,103,283.5907693323679
202,104,260.5889690411277
202,105,263.78726929659024
202,106,286.55396931106225
202,107,269.43456910783425
202,108,263.36466933833435
202,109,260.8170690317638
202,110,236.61136923590675
202,111,237.56786918500438
202,112,236.80316929938272
202,113,188.11826913850382
202,114,275.348169200588
202,115,252.1302690100856
202,116,255.53706933977082
202,117,242.79986920999363
202,118,279.6880690683611
202,119,265.45456930296496
202,120,285.3138692979701
202,121,277.78176933759823
202,122,221.25496918568388
202,123,239.30316924350336
202,124,288.52456918219104
202,125,207.4064690922387
202,126,235.864969373215
202,127,291.55436920234933
202,128,222.48986939201131
202,129,258.7949691177346
202,130,243.30526910023764
202,131,248.18206921452656
202,132,279.16716917650774
202,133,246.67556903557852
202,134,288.488369139377
202,135,232.92886925162748
202,136,260.1390692242421
202,137,278.5946691245772
202,138,264.462769201491
202,139,277.67836924875155
202,140,217.25316921481863
202,141,239.23236917005852
202,142,261.5361692686565
202,143,230.12856923276559
202,144,274.1313690156676
202,145,243.70406934292987
202,146,238.88976912247017
202,147,282.40396914305165
202,148,279.43776914151385
202,149,275.8892690134235
202,150,281.83166932547465
202,151,206.7114691552706
202,152,253.11166926519945
202,153,196.0788692184724
202,154,233.36836922215298
202,155,237.28636925341561
202,156,267.2659691260196
202,157,243.36386908078566
202,158,292.6374694169499
202,159,262.9950690851547
202,160,249.54726913245395
202,161,237.4471690808423
202,162,268.3194691152312
202,163,283.70146912755445
202,164,256.5709691797383
202,165,289.62876920821145
202,166,241.24306923011318
202,167,265.9080691472627
202,168,276.8790690996684
202,169,256.10506924102083
202,170,262.94336904073134
202,171,262.5789690599777
202,172,236.94786912063137
202,173,220.8557691727765
202,174,240.60266924323514
202,175,278.3511690166779
202,176,221.11586917424574
202,177,232.02896903501824
202,178,254.99346915865317
202,179,275.92396916123107
202,180,264.7228692029603
202,181,233.4930691239424
202,182,238.61916915746406
202,183,223.6087691807188
202,184,278.80326931597665
202,185,274.4058693596162
202,186,287.7160691958852
202,187,261.1398693942465
202,188,253.50866926135495
202,189,246.4504690677859
202,190,266.5456693456508
202,191,262.24606920266524
202,192,289.8284692154266
202,193,280.71366919437423
202,194,257.0313691929914
202,195,213.44106940785423
202,196,264.91406926186755
202,197,250.29536912450567
202,198,273.56266922550276
202,199,291.1306693521328
202,200,283.65496912272647
202,201,247.76576918782666
202,202,271.9902691268362
202,203,252.26996902609244
202,204,228.56536920415238
202,205,275.9180692327209
202,206,237.05656913341954
202,207,280.46516904840246
202,208,265.5711692594923
202,209,251.7915691086091
202,210,271.67666930006817
202,211,265.7496691052802
202,212,290.37536930525675
202,213,270.5369693529792
202,214,287.8905690112151
202,215,240.94066925579682
202,216,294.0666691237129
202,217,273.58276926213875
202,218,292.7313693170436
202,219,272.5166694098152
202,220,281.3031691429205
202,221,237.00766934314743
202,222,243.6021691490896
202,223,272.4974690307863
202,224,245.34156935522333
202,225,213.37616926291957
202,226,283.496069193352
202,227,283.9794691489078
202,228,237.01376927318051
202,229,243.80996933439746
202,230,290.0613692426123
202,231,211.41406934009865
202,232,285.20646917866543
202,233,273.80026917206123
202,234,264.29046917008236
202,235,285.8090693433769
202,236,274.13306914502755
202,237,257.64536921167746
202,238,256.5107691870071
202,239,232.5268692173995
202,240,260.6368692894466
202,241,225.61636933358386
202,242,222.53986907424405
202,243,233.5930691868998
202,244,268.3495692280121
202,245,274.41966923186556
202,246,256.2023691670038
202,247,206.04866923065856
202,248,276.81586931692436
202,249,288.76526926876977
202,250,226.13726899260655
202,251,254.3065693997778
202,252,237.85786929773167
202,253,258.53006907971576
202,254,277.3596692667343
202,255,264.6592691843398
202,256,292.2673692763783
202,257,239.30946917505935
202,258,253.86946921469644
202,259,265.9744691872038
202,260,279.75646912353113
202,261,267.4060693779029
202,262,211.47596922935918
202,263,266.9557690923102
202,264,295.0880692177452
202,265,293.2806691923179
202,266,238.86286903405562
202,267,272.21066917525604
202,268,254.3724693194963
202,269,245.14006910147145
202,270,209.92836908670142
202,271,273.5309693333693
202,272,284.0166691993363
202,273,258.76676936866716
202,274,221.78926917957142
202,275,246.99026921996847
202,276,216.8461691425182
202,277,280.54576919646934
202,278,290.1540693663992
202,279,237.02546924585477
202,280,270.190469159279
202,281,258.8287691422738
202,282,284.2631693300791
202,283,282.1214692038484
202,284,243.72336937347427
202,285,236.5384692628868
202,286,260.95356902340427
202,287,283.0780692701228
202,288,238.89776918338612
202,289,267.0274690561928
202,290,281.75796911353245
202,291,237.34196921112016
202,292,248.5358691145666
202,293,277.24666910478845
202,294,239.30726915830746
202,295,238.1287691486068
202,296,251.97756936075166
202,297,275.67736914614215
202,298,268.57156928861514
202,299,213.96366919623688
202,300,272.45046937139705
202,301,262.0380692486651
202,302,238.20146912010387
202,303,254.9036691733636
202,304,211.89916919218376
202,305,269.36646917136386
202,306,258.58526926720515
202,307,285.5763690848835
202,308,221.38236922444776
202,309,284.318769054953
202,310,252.00836912961677
202,311,252.09896912099794
202,312,287.4332691379823
202,313,276.44626929657534
202,314,227.93806920060888
202,315,256.187369285617
202,316,245.25366926798597
202,317,295.595569240395
202,318,271.1469693412073
202,319,231.02226916933432
202,320,248.8458691467531
202,321,247.34596925089136
202,322,243.56386897386983
202,323,259.77396935457364
202,324,282.762669196818
202,325,279.9255691305734
202,326,251.67016934836283
202,327,249.07546926522627
202,328,279.0422692731954
202,329,281.8935692147352
202,330,263.25316907139495
202,331,273.68606923380867
202,332,265.9527691383846
202,333,258.17136925878003
202,334,264.68596927123144
202,335,243.180969201494
202,336,246.02886934997514
202,337,244.82496914686635
202,338,278.8789693103172
202,339,261.4779692911543
202,340,261.0051691834815
202,341,259.20546933310106
202,342,283.26376917073503
202,343,286.4869692665525
202,344,253.654569091741
202,345,291.23806923860684
202,346,244.66156906681135
202,347,284.8382691689767
202,348,213.4142692037858
202,349,245.48116925405338
202,350,255.56956900516525
202,351,252.0825692289509
202,352,237.62326914118603
202,353,283.41766929486766
202,354,272.94166915351525
202,355,267.0369692449458
202,356,270.87436912814155
202,357,250.1236690976657
202,358,272.3181691789068
202,359,272.57086912402883
202,360,268.693769054953
202,361,274.49936925666407
202,362,276.226569369901
202,363,239.4014691771008
202,364,233.91316917957738
202,365,291.7729692370631
202,366,268.4330692817457
202,367,260.07486920105293
202,368,274.4000690826215
202,369,262.97256926307455
202,370,274.4295691908337
202,371,224.5628693443723
202,372,257.50736909219995
202,373,234.96126936050132
202,374,245.49506924347952
202,375,221.72426915029064
202,376,288.2998692174442
202,377,272.73306919494644
202,378,272.184769094456
202,379,205.3553691902198
202,380,294.2807692405768
202,381,262.6000693370588
202,382,276.2435692665167
202,383,220.92426911229268
202,384,267.34626915538684
202,385,242.33086936408654
202,386,291.57036932418123
202,387,256.56206922838464
202,388,269.55346919829026
202,389,257.52006930531934
202,390,222.45536924572662
202,391,281.20256930822507
202,392,220.3524691821076
202,393,253.9181692362763
202,394,273.39796925196424
202,395,248.510669155512
202,396,221.95546904811636
202,397,289.0519692399539
202,398,216.30756923230365
202,399,280.7403692812659
202,400,239.87676918739453
202,401,217.8680691239424
202,402,263.98216903442517
202,403,257.46186909498647
202,404,285.2076691878028
202,405,270.8532693167217
202,406,235.15076929004863
202,407,272.05416926415637
202,408,258.71556921163574
202,409,272.9242692538537
202,410,219.65606923447922
202,411,294.8778692469932
202,412,289.6457691048272
202,413,290.5856693931855
202,414,245.01196917379275
202,415,252.58956913137808
202,416,256.58586917677894
202,417,247.70376918138936
202,418,281.5389690757729
202,419,237.51516913296655
202,420,288.73236913466826
202,421,257.04176927218214
202,422,290.890469152946
202,423,245.21496932255104
202,424,259.6927689691074
202,425,258.59486910747364
202,426,239.20966911362484
202,427,254.0008692839183
202,428,290.7206692569889
202,429,270.4035690356977
202,430,272.45436928467825
202,431,267.24976900266483
202,432,232.92966925771907
202,433,284.88616918446496
202,434,230.02216912107542
202,435,297.4995690700598
202,436,227.47206914471462
202,437,238.50056918570772
