target_cohort,method,m,n_rows,n_runs,n_pii_rows,token_f1_mean,token_f1_ci_low,token_f1_ci_high,bleu_mean,bleu_ci_low,bleu_ci_high,exact_match_mean,exact_match_ci_low,exact_match_ci_high,normalized_exact_match_mean,normalized_exact_match_ci_low,normalized_exact_match_ci_high,pii_recall_mean,pii_recall_ci_low,pii_recall_ci_high,pii_identifier_recall_mean,pii_identifier_recall_ci_low,pii_identifier_recall_ci_high,pii_name_recall_mean,pii_name_recall_ci_low,pii_name_recall_ci_high,pii_email_recall_mean,pii_email_recall_ci_low,pii_email_recall_ci_high,pii_phone_recall_mean,pii_phone_recall_ci_low,pii_phone_recall_ci_high,pii_card_recall_mean,pii_card_recall_ci_low,pii_card_recall_ci_high,geometry_cosine_mean,geometry_cosine_ci_low,geometry_cosine_ci_high,recovered_text_embedding_cosine_mean,recovered_text_embedding_cosine_ci_low,recovered_text_embedding_cosine_ci_high
largest,ols_m16,16,2,1,0,0.4893424036281179,0.4888888888888889,0.4897959183673469,0.10038547596102025,0.04760925781041145,0.15316169411162905,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9926453530788422,0.9877890348434448,0.9975016713142395,0.8770115971565247,0.8662835359573364,0.8877396583557129
largest,ols_m8,8,2,1,0,0.5033444816053512,0.3913043478260869,0.6153846153846154,0.10996343873528011,0.07614768646967832,0.1437791910008819,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9914430975914001,0.9856669902801514,0.9972192049026489,0.9024643898010254,0.887001633644104,0.9179271459579468
largest,oracle_residual,,2,1,0,0.5186335403726708,0.4285714285714286,0.6086956521739131,0.1533770388460134,0.09579302046384425,0.21096105722818254,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.8785530924797058,0.8436234593391418,0.9134827256202698
largest,prefix_only,,2,1,0,0.5290697674418604,0.5,0.5581395348837208,0.11999757836377693,0.08520976485282966,0.1547853918747242,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9900000393390656,0.9831287264823914,0.9968713521957397,0.8476066589355469,0.8260715007781982,0.8691418170928955
largest,procrustes_m16,16,2,1,0,0.5,0.4285714285714286,0.5714285714285715,0.08205233375394755,0.04822685408657448,0.11587781342132063,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9848249554634094,0.974949061870575,0.9947008490562439,0.8435157835483551,0.8020495176315308,0.8849820494651794
largest,raw,,2,1,0,0.5186335403726708,0.4285714285714286,0.6086956521739131,0.1533770388460134,0.09579302046384425,0.21096105722818254,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0000000596046448,1.0,1.0000001192092896,0.8785530924797058,0.8436234593391418,0.9134827256202698
largest,unknown_key,,2,1,0,0.46944444444444444,0.45,0.4888888888888889,0.06605747361820927,0.05624355980164587,0.07587138743477266,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9796862304210663,0.9656145572662354,0.9937579035758972,0.8667342662811279,0.8495844602584839,0.883884072303772
largest_pii,ols_m16,16,2,1,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.028480748131498996,0.02527719992092097,0.03168429634207702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9917985498905182,0.9914652109146118,0.9921318888664246,0.7386952638626099,0.7310387492179871,0.7463517785072327
largest_pii,ols_m8,8,2,1,2,0.11396011396011395,0.07407407407407407,0.15384615384615383,0.02422876886076414,0.021300733682208986,0.027156804039319287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9907074272632599,0.9906443953514099,0.9907704591751099,0.71492800116539,0.6378636360168457,0.7919923663139343
largest_pii,oracle_residual,,2,1,2,0.14666666666666667,0.13333333333333333,0.16,0.0266774720994956,0.024623373672221803,0.028731570526769397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.0000000596046448,1.0,1.0000001192092896,0.8037928342819214,0.76591956615448,0.8416661024093628
