method,m,n_rows,n_runs,n_pii_rows,token_f1_mean,token_f1_ci_low,token_f1_ci_high,bleu_mean,bleu_ci_low,bleu_ci_high,exact_match_mean,exact_match_ci_low,exact_match_ci_high,normalized_exact_match_mean,normalized_exact_match_ci_low,normalized_exact_match_ci_high,pii_recall_mean,pii_recall_ci_low,pii_recall_ci_high,pii_identifier_recall_mean,pii_identifier_recall_ci_low,pii_identifier_recall_ci_high,pii_name_recall_mean,pii_name_recall_ci_low,pii_name_recall_ci_high,pii_email_recall_mean,pii_email_recall_ci_low,pii_email_recall_ci_high,pii_phone_recall_mean,pii_phone_recall_ci_low,pii_phone_recall_ci_high,pii_card_recall_mean,pii_card_recall_ci_low,pii_card_recall_ci_high,geometry_cosine_mean,geometry_cosine_ci_low,geometry_cosine_ci_high,recovered_text_embedding_cosine_mean,recovered_text_embedding_cosine_ci_low,recovered_text_embedding_cosine_ci_high
ols_m16,16,4,2,2,0.28170823885109597,0.07407407407407407,0.4895691609977324,0.06443311204625962,0.026878974026209985,0.12677358503632466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9922219514846802,0.9897937923669815,0.9950735121965408,0.8078534305095673,0.7348670065402985,0.8823756277561188
ols_m8,8,4,2,2,0.3086522977827325,0.09401709401709402,0.5593645484949833,0.06709610379802212,0.022764751271486562,0.126871314868081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.99107526242733,0.988170662894845,0.9943311512470245,0.8086961954832077,0.6763958185911179,0.9142547413706779
oracle_residual,,4,2,2,0.3326501035196687,0.13999999999999999,0.563664596273292,0.09002725547275449,0.0256504228858587,0.1533770388460134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.0000000298023224,1.0,1.0000000894069672,0.8411729633808136,0.7848562002182007,0.9134827256202698
prefix_only,,4,2,2,0.3002491694352159,0.01696428571428572,0.5436046511627906,0.06845696564770702,0.015989123081287894,0.1373914851192506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9895917922258377,0.9855388700962067,0.9936447143554688,0.7499115020036697,0.6041620224714279,0.8583742380142212
procrustes_m16,16,4,2,2,0.36755233494363926,0.20450885668276972,0.5357142857142858,0.06409977539459435,0.04572360962177337,0.11587781342132063,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9841834455728531,0.9792454987764359,0.9897629022598267,0.7850181758403778,0.7265205681324005,0.8751338113099335
raw,,4,2,2,0.3326501035196687,0.13649999999999998,0.563664596273292,0.09002725547275449,0.02511122204869933,0.182169048037098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.0000000894069672,1.0000000298023224,1.0000001192092896,0.8411729633808136,0.7848562002182007,0.8960179090499878
unknown_key,,4,2,2,0.2564613526570048,0.0,0.4791666666666667,0.039351941188701764,0.012646408759194268,0.07096443052649097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9788541495800018,0.9700149893760681,0.987231969460845,0.7121707499027252,0.4620792865753174,0.87530916929245
