config,metric_acc10,metric_acc10_std,metric_mrr,metric_mrr_std,metric_ndcg10,metric_ndcg10_std
baseline_dense,0.89,0.0,0.8166325396825397,0.0,0.8341319115649357,0.0
dp_gauss_eps1,0.0,0.0,0.0,0.0,0.0,0.0
dp_gauss_eps4,0.0,0.0,0.0,0.0,0.0,0.0
ours_full,0.8673333333333333,0.0067987103553049655,0.46499407407407406,0.021301720893317947,0.5595557877405151,0.016983787064107583
sigma_rec,0.0801,,,,,
