suite,encoder,dataset,n_corpus,n_queries,dimension,score_max_abs_error,top10_exact_fraction,top100_exact_fraction,method,ndcg10,recall10,recall100
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,raw,0.5982147684515763,0.7339444444444445,0.901
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,old_centered_full,0.5588403165415794,0.6956111111111111,0.8793333333333334
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_full,0.5982147684515763,0.7339444444444445,0.901
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,old_centered_half_pca,0.5221890383036324,0.6582777777777777,0.876
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_half_pca,0.5493673033147642,0.699111111111111,0.8603333333333334
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,legacy_hybrid_dpub48_kc100,0.5324545289306086,0.6426111111111111,0.75
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_shard_centered_router_dpub48_kc100,0.5324545289306086,0.6426111111111111,0.75
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_shard_uncentered_router_dpub48_kc100,0.5629983932136112,0.6765,0.7558888888888889
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,legacy_hybrid_dpub48_kc200,0.5734762235232231,0.6882777777777778,0.8023333333333333
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_shard_centered_router_dpub48_kc200,0.5734762235232231,0.6882777777777778,0.8023333333333333
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_shard_uncentered_router_dpub48_kc200,0.5855813326545448,0.7066111111111111,0.8073333333333333
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,legacy_hybrid_dpub96_kc100,0.5830100299961088,0.7066111111111111,0.8273333333333334
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_shard_centered_router_dpub96_kc100,0.5830100299961088,0.7066111111111111,0.8273333333333334
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_shard_uncentered_router_dpub96_kc100,0.5911803806729077,0.7199444444444444,0.829
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,legacy_hybrid_dpub96_kc200,0.5897329401384135,0.7166111111111111,0.8653333333333334
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_shard_centered_router_dpub96_kc200,0.5897329401384135,0.7166111111111111,0.8653333333333334
beir,multilingual-e5-small,scifact,5183,300,384,4.81832161502993e-07,1.0,0.9833333333333333,corrected_shard_uncentered_router_dpub96_kc200,0.5936683458289248,0.7272777777777778,0.8510000000000001
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,raw,0.3020970886539733,0.14647137012742903,0.24833693816772606
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,old_centered_full,0.2947798883423148,0.14055206812040955,0.2484048332434591
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_full,0.3020970886539733,0.14647137012742903,0.24833693816772606
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,old_centered_half_pca,0.28071812048322975,0.13701077779936205,0.2544719388599281
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_half_pca,0.2902793486868733,0.1400457406053421,0.2531105203371101
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,legacy_hybrid_dpub48_kc100,0.2725876018628721,0.12411449485842714,0.2097887478138053
