target_cohort,method,m,n_rows,n_runs,n_pii_rows,token_f1_mean,token_f1_ci_low,token_f1_ci_high,bleu_mean,bleu_ci_low,bleu_ci_high,exact_match_mean,exact_match_ci_low,exact_match_ci_high,normalized_exact_match_mean,normalized_exact_match_ci_low,normalized_exact_match_ci_high,pii_recall_mean,pii_recall_ci_low,pii_recall_ci_high,pii_identifier_recall_mean,pii_identifier_recall_ci_low,pii_identifier_recall_ci_high,pii_name_recall_mean,pii_name_recall_ci_low,pii_name_recall_ci_high,pii_email_recall_mean,pii_email_recall_ci_low,pii_email_recall_ci_high,pii_phone_recall_mean,pii_phone_recall_ci_low,pii_phone_recall_ci_high,pii_card_recall_mean,pii_card_recall_ci_low,pii_card_recall_ci_high,geometry_cosine_mean,geometry_cosine_ci_low,geometry_cosine_ci_high,recovered_text_embedding_cosine_mean,recovered_text_embedding_cosine_ci_low,recovered_text_embedding_cosine_ci_high
largest,ols_m16,16,48,4,0,0.44249845784389796,0.2856887961062314,0.5929878952110451,0.0775845823837918,0.0415330625246265,0.12050906733953987,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9406580229600271,0.8863280608629187,0.9870815513034661,0.8122557153304418,0.7085347733770807,0.8953968514377872
largest,ols_m32,32,48,4,0,0.42897287890771657,0.30405355434335385,0.5480641535219103,0.06805217697575092,0.0401372045381423,0.10474673296754419,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9444688012202581,0.8937303370485703,0.9880083063617349,0.803844458113114,0.6820960817237696,0.9053648158287008
largest,ols_m64,64,48,4,0,0.44407916478711956,0.3416577132682421,0.5514470874715226,0.07788845935407886,0.03975232453469246,0.12921411712720496,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9525167308747768,0.9079501062010725,0.9899036666999261,0.8300093176464239,0.753207830277582,0.8975217598800858
largest,ols_m8,8,48,4,0,0.44999994789443165,0.31117059094915106,0.5862549525381492,0.08202749590575176,0.04033261967121015,0.1398518680468543,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.938662605981032,0.8821395282323162,0.986388438505431,0.8170144980152448,0.7249975061044096,0.9000016843279203
largest,oracle_residual,,48,4,0,0.6649613184198079,0.6106057956225934,0.7253484657907694,0.21032061155794066,0.15100013785315455,0.2767912826809789,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9999999776482582,0.9999999379118284,1.0000000223517418,0.9053050900499026,0.8779377091675996,0.9313041228180131
largest,prefix_only,,48,4,0,0.4330869794449386,0.2943022557351204,0.5701098177662661,0.06817403985861416,0.03536824972902216,0.1102381810581694,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9364007165034612,0.8780860817059875,0.9858606031164527,0.8110840519269308,0.7240344968313972,0.8922063521419962
largest,procrustes_m32,32,48,4,0,0.2833768726001123,0.15823870585355346,0.4183063363902179,0.03954567986350839,0.0204452502455451,0.06807007151129614,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8961492454012235,0.8033918890481193,0.976008652895689,0.6794360329707464,0.5427569251817961,0.8078382333740592
largest,procrustes_m64,64,48,4,0,0.300656844478343,0.16438628904601857,0.4548365301235517,0.04192876770100628,0.01831025425749587,0.08704993084864841,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9090003557503223,0.8248707326749961,0.9800830192863942,0.7074336086710294,0.5596093743729095,0.8287047741313774
largest,raw,,48,4,0,0.6649613184198079,0.612504612699637,0.7251332398518379,0.21032061155794066,0.1492203744220618,0.2769371455167739,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9999999701976776,0.999999945362409,0.9999999950329462,0.9053050900499026,0.879084867487351,0.9294297820578018
largest,unknown_key,,48,4,0,0.24156886256199553,0.12808432120349011,0.37368864122707923,0.033662448997921444,0.014882035769007325,0.05836653784584126,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8797325144211451,0.7725603891536594,0.9720203135783474,0.643193211251249,0.5108125729486346,0.7824176157514254
