run_id,geometry_id,method,m,n,n_pii,token_f1_mean,token_f1_ci_low,token_f1_ci_high,bleu_mean,bleu_ci_low,bleu_ci_high,exact_match_mean,exact_match_ci_low,exact_match_ci_high,normalized_exact_match_mean,normalized_exact_match_ci_low,normalized_exact_match_ci_high,pii_recall_mean,pii_recall_ci_low,pii_recall_ci_high,pii_identifier_recall_mean,pii_identifier_recall_ci_low,pii_identifier_recall_ci_high,pii_name_recall_mean,pii_name_recall_ci_low,pii_name_recall_ci_high,pii_email_recall_mean,pii_email_recall_ci_low,pii_email_recall_ci_high,pii_phone_recall_mean,pii_phone_recall_ci_low,pii_phone_recall_ci_high,pii_card_recall_mean,pii_card_recall_ci_low,pii_card_recall_ci_high,geometry_cosine_mean,geometry_cosine_ci_low,geometry_cosine_ci_high,recovered_text_embedding_cosine_mean,recovered_text_embedding_cosine_ci_low,recovered_text_embedding_cosine_ci_high
p192_c16_cs17_ks101_largest,p192_c16_cs17,ols_m16,16,12,0,0.3233500482428074,0.24755776450965622,0.41220613440360787,0.05635850953176976,0.02990367279948766,0.09376405624496548,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.894836018482844,0.8744827987005314,0.9124252080917358,0.7419346769650778,0.6806299703816573,0.8136336959898471
p192_c16_cs17_ks101_largest,p192_c16_cs17,ols_m32,32,12,0,0.3311176544406767,0.2557588219673384,0.40690626959123694,0.0481057541262663,0.0314613530740095,0.06846484532732437,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9014164706071218,0.8827556040138007,0.9188069939613343,0.7017811785141627,0.6441558976968129,0.757456678400437
p192_c16_cs17_ks101_largest,p192_c16_cs17,ols_m64,64,12,0,0.36704923699615216,0.3031383908476031,0.43527133821597175,0.05074635468088625,0.03139910508529268,0.07219716577627379,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9155486971139908,0.8993061828116576,0.9304133998850981,0.7685357083876928,0.729473273580273,0.8059998748203118
p192_c16_cs17_ks101_largest,p192_c16_cs17,ols_m8,8,12,0,0.34300406885657225,0.28077144114853086,0.41529969178983794,0.05005107782815091,0.030299737988226237,0.07397343706101348,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8914691756169001,0.8720718059688807,0.9088904753327369,0.7482518156369528,0.6934642230470975,0.803463677689433
p192_c16_cs17_ks101_largest,p192_c16_cs17,oracle_residual,,12,0,0.6694715126217484,0.5863695532413508,0.7574078357850135,0.20697538160228027,0.11358427558910138,0.313361230693184,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9999999552965164,0.9999999205271403,0.9999999950329462,0.9057780702908834,0.872800778845946,0.9378948998947939
p192_c16_cs17_ks101_largest,p192_c16_cs17,prefix_only,,12,0,0.33022537999092466,0.2526060596076804,0.4086217251032895,0.0423015913855348,0.028924070286993682,0.05945329585557908,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8875142286221186,0.8667971583704154,0.906352271636327,0.7435980786879858,0.6988135763754447,0.788919751221935
p192_c16_cs17_ks101_largest,p192_c16_cs17,procrustes_m32,32,12,0,0.1829253400748091,0.13955920694407536,0.24253565257887066,0.028577954482213144,0.01851260485079963,0.045704933499278226,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8198592662811279,0.7887073960155249,0.8490058173735936,0.5651978005965551,0.4923215567444762,0.6432288887600103
p192_c16_cs17_ks101_largest,p192_c16_cs17,procrustes_m64,64,12,0,0.1817954895357832,0.11909152539127395,0.2495839251500749,0.020802845655356516,0.013983434913867948,0.02745612021536374,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8378148029247919,0.8085352754841248,0.863848997404178,0.6129949018359184,0.5234357461333276,0.6954374965280294
p192_c16_cs17_ks101_largest,p192_c16_cs17,raw,,12,0,0.6694715126217484,0.5819258970855609,0.7593471409438308,0.20697538160228027,0.11239996359440917,0.31740298713181453,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9999999701976776,0.9999999354283015,1.0000000049670537,0.9057780702908834,0.8708715341985226,0.9396183143059412
p192_c16_cs17_ks101_largest,p192_c16_cs17,unknown_key,,12,0,0.14747307336441465,0.09133837337519428,0.20483906057706994,0.01568623476894152,0.01024102288059545,0.02093211382007724,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.787229319413503,0.7508562379827102,0.8190681072572867,0.5456813996036848,0.45561755051215486,0.6239561759556331
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,ols_m16,16,12,12,0.4204234036180563,0.38208256235939264,0.4591839164592787,0.11735121063792807,0.07641601592998408,0.16434022714338015,0.0,0.0,0.0,0.0,0.0,0.0,0.3870967741935484,0.35294117647058826,0.42857142857142855,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9893564979235331,0.987688026825587,0.9907852745304505,0.9124821424484253,0.8961583465337752,0.926760933175683
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,ols_m32,32,12,12,0.42116464356344413,0.38624172063845974,0.45175846455587837,0.07952866083335185,0.05601510116776643,0.10808280123109758,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.25,0.3870967741935484,0.0,0.0,0.0,0.8333333333333334,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.99318727850914,0.9922041478256385,0.994224717716376,0.9138904164234797,0.8932594175140063,0.931969819466273
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,ols_m64,64,12,12,0.3501599983484041,0.2681024601405036,0.4196535350049842,0.09045954200129092,0.05959780131249983,0.12367811915042456,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.23333333333333334,0.4074074074074074,0.0,0.0,0.0,0.8333333333333334,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9965932418902715,0.996000188589096,0.9971683084964753,0.8742959375182787,0.7944121570636828,0.9237104448179404
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,ols_m8,8,12,12,0.4091382771817555,0.35235762124349085,0.46518346508563907,0.06596841196299148,0.05116682902886157,0.08251543745709128,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.15151515151515152,0.35714285714285715,0.0,0.0,0.0,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9870994687080383,0.9853452843924363,0.988820327197512,0.9068235208590826,0.8801784710337718,0.9315155083934465
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,oracle_residual,,12,12,0.37267806267806264,0.305627442002442,0.42888808336725004,0.09485479856336491,0.06275884891466867,0.1306117662343575,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.1875,0.39285714285714285,0.0,0.0,0.0,0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.000000034769376,0.9999999900658926,1.0000000794728596,0.9098409364620844,0.8870588595668475,0.9338911933203539
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,prefix_only,,12,12,0.3729904827805877,0.30519580342612584,0.42756252620026985,0.0883526822182893,0.05948488114023658,0.12483784707874138,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.15151515151515152,0.35714285714285715,0.0,0.0,0.0,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9846079548199972,0.9832240624974171,0.9859044522047044,0.8919046769539515,0.8665952791770299,0.9157721105962991
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,procrustes_m32,32,12,12,0.25476197367395925,0.21417928615962892,0.290745964686037,0.039972547530802836,0.034843762404670214,0.0445578321608071,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.09090909090909091,0.3,0.0,0.0,0.0,0.5,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9862792193889618,0.9841983195394277,0.9884368455658357,0.8481704791386923,0.8074693460017442,0.8851369426896174
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,procrustes_m64,64,12,12,0.2891446208112875,0.23674360670194003,0.34461386684303347,0.049304771148530845,0.038881867222831386,0.05974810200572077,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.09090909090909091,0.30303030303030304,0.0,0.0,0.0,0.5,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9932239800691605,0.9920401097585757,0.9943604212254287,0.858875056107839,0.8224300511181354,0.8928473877410094
