suite,encoder,dataset,epsilon,sigma,privacy,ndcg10,ndcg10_ci95_low,ndcg10_ci95_high,recall10,recall10_ci95_low,recall10_ci95_high,recall100,recall100_ci95_low,recall100_ci95_high,score_pearson,score_pearson_ci95_low,score_pearson_ci95_high,score_rmse,score_rmse_ci95_low,score_rmse_ci95_high,clean_top10_overlap,clean_top10_overlap_ci95_low,clean_top10_overlap_ci95_high
beir,multilingual-e5-base,arguana,inf,0.0,nonprivate,0.3457650276755434,0.33251658808527534,0.35947211232829007,0.6952177016416845,0.6702177016416845,0.7187723054960742,0.9550321199143469,0.9443254817987152,0.9657387580299786,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
beir,multilingual-e5-base,arguana,0.5,16.1152530766871,formal_bounded_record_dp,0.00046783906148631854,0.0,0.0011811382207481305,0.0011896264572924102,0.0,0.0030930287889602663,0.01284796573875803,0.00832738520104687,0.017844396859386154,-0.00209886082671716,-0.0050151263695592686,0.0021855971846061538,0.7572591396017908,0.7566609081583172,0.7579275957743288,0.001046871282417321,0.0005710206995003569,0.0016416845110635262
beir,multilingual-e5-base,arguana,1.0,8.449366228011328,formal_bounded_record_dp,0.00046783906148631854,0.0,0.0011357852996595487,0.0011896264572924102,0.0,0.0028551034975017845,0.013085891030216512,0.00855936236021889,0.018320247442303116,-0.0008887651151111811,-0.0037292500916888943,0.0034965028069132986,0.7557212906892765,0.7550854375911854,0.7563645238340385,0.001046871282417321,0.0005472281703545087,0.001641684511063526
beir,multilingual-e5-base,arguana,2.0,4.460957003325374,formal_bounded_record_dp,0.00046783906148631854,0.0,0.0011549694219451256,0.0011896264572924102,0.0,0.0028551034975017845,0.013561741613133477,0.009279086366880799,0.018320247442303116,0.0013858663820606988,-0.001701086697097878,0.005778778127779812,0.7528309828806321,0.7521936206835612,0.7534872455167637,0.0010706638115631692,0.0005948132286462051,0.0016416845110635266
beir,multilingual-e5-base,arguana,4.0,2.3870395613531454,formal_bounded_record_dp,0.00047826584017745616,0.0,0.0012097929676447038,0.0011896264572924102,0.0,0.0030930287889602663,0.014275517487508922,0.009754936949797764,0.019271948608137045,0.005573470289228152,0.0026746711971079424,0.010012523172275628,0.7475118538782922,0.7469179308982882,0.7481507571108819,0.0012134189864382583,0.0006661908160837497,0.0017844396859386157
beir,multilingual-e5-base,arguana,8.0,1.3058720745872001,formal_bounded_record_dp,0.0005575408345913637,0.0,0.001366463893593026,0.0011896264572924102,0.0,0.0030930287889602663,0.015227218653342851,0.010224839400428265,0.020461575065429453,0.013034874860521477,0.010034965481944628,0.017377841936309348,0.7380437502329914,0.7374031777095332,0.7387224131890042,0.0012847965738758032,0.0007137758743754462,0.0019509873899595527
beir,multilingual-e5-base,arguana,16.0,0.73722405290227,formal_bounded_record_dp,0.0006408994038444989,0.0,0.0015803553858706875,0.0014275517487508922,0.0,0.0035688793718772305,0.015940994527718296,0.010944563407090173,0.02165120152272186,0.025757267703260003,0.022624788391174797,0.030266829071514078,0.7219440351707151,0.7213317970768893,0.7225580955653306,0.0014513442778967406,0.0008565310492505355,0.002069950035688794
beir,multilingual-e5-base,arguana,32.0,0.43237492535347166,formal_bounded_record_dp,0.0008453459010190361,0.0,0.0021756039587271076,0.0016654770402093743,0.0,0.0035688793718772305,0.01879609802522008,0.013561741613133477,0.024506305020223645,0.04641709541538502,0.043229914521480964,0.05085090858719458,0.6959903623545598,0.6953617081530094,0.6966053504374475,0.0018082322150844634,0.001023078753271473,0.0026171782060433026
beir,multilingual-e5-base,arguana,64.0,0.26380843334171206,formal_bounded_record_dp,0.0011270505099403,0.0001499571145157653,0.002631936699027306,0.0023792529145848203,0.00047585058291696404,0.004996431120628123,0.025458006186057577,0.019271948608137045,0.032119914346895075,0.07855530513067757,0.07524778088383526,0.08297725275267717,0.656346980742071,0.6557478102396631,0.6569466052639539,0.0030216512015227223,0.0022840827980014277,0.003806804663335713
beir,multilingual-e5-base,arguana,128.0,0.16683264581484528,formal_bounded_record_dp,0.002470488734202083,0.0009958883803466727,0.00451235177459113,0.005948132286462051,0.0021413276231263384,0.010468712824173209,0.03854389721627409,0.029978586723768737,0.04806090887461337,0.12713599112509452,0.12365947022783513,0.13157141359437202,0.5988736141066775,0.5983161917497963,0.599441019507371,0.005757792053295266,0.0046395431834403995,0.0068998334522959795
